period_label,year,month,sector,enquiries_millions
Dec'14,2014,12,Telecommunication providers,15.36
Mar'15,2015,3,All other entities,56.4
Mar'15,2015,3,Banks and other financial institutions,251.74
Mar'15,2015,3,Debt collection agencies,4.87
Mar'15,2015,3,Retailers,10.03
Mar'15,2015,3,Telecommunication providers,13.04
Jun'15,2015,6,All other entities,62.65
Jun'15,2015,6,Banks and other financial institutions,313.86
Jun'15,2015,6,Debt collection agencies,3.9
Jun'15,2015,6,Retailers,10.27
Jun'15,2015,6,Telecommunication providers,22.08
Sep'15,2015,9,All other entities,70.37
Sep'15,2015,9,Banks and other financial institutions,262.1
Sep'15,2015,9,Debt collection agencies,4.01
Sep'15,2015,9,Retailers,26.19
Sep'15,2015,9,Telecommunication providers,13.38
Dec'15,2015,12,All other entities,98.55
Dec'15,2015,12,Banks and other financial institutions,279.0
Dec'15,2015,12,Debt collection agencies,3.1
Dec'15,2015,12,Retailers,26.9
Dec'15,2015,12,Telecommunication providers,11.14
Mar'16,2016,3,All other entities,59.82
Mar'16,2016,3,Banks and other financial institutions,288.18
Mar'16,2016,3,Debt collection agencies,2.67
Mar'16,2016,3,Retailers,26.52
Mar'16,2016,3,Telecommunication providers,14.59
Jun'16,2016,6,All other entities,74.36
Jun'16,2016,6,Banks and other financial institutions,293.41
Jun'16,2016,6,Debt collection agencies,3.71
Jun'16,2016,6,Retailers,26.24
Jun'16,2016,6,Telecommunication providers,36.65
Sep'16,2016,9,All other entities,99.7
Sep'16,2016,9,Banks and other financial institutions,257.26
Sep'16,2016,9,Debt collection agencies,3.42
Sep'16,2016,9,Retailers,29.83
Sep'16,2016,9,Telecommunication providers,63.61
Dec'16,2016,12,All other entities,115.5
Dec'16,2016,12,Banks and other financial institutions,256.56
Dec'16,2016,12,Debt collection agencies,3.85
Dec'16,2016,12,Retailers,26.93
Dec'16,2016,12,Telecommunication providers,43.6
Mar'17,2017,3,All other entities,94.84
Mar'17,2017,3,Banks and other financial institutions,280.1
Mar'17,2017,3,Debt collection agencies,5.26
Mar'17,2017,3,Retailers,30.01
Mar'17,2017,3,Telecommunication providers,26.23
Jun'17,2017,6,All other entities,146.17
Jun'17,2017,6,Banks and other financial institutions,269.75
Jun'17,2017,6,Debt collection agencies,3.0
Jun'17,2017,6,Retailers,25.43
Jun'17,2017,6,Telecommunication providers,35.62
Sep'17,2017,9,All other entities,140.59
Sep'17,2017,9,Banks and other financial institutions,161.36
Sep'17,2017,9,Debt collection agencies,6.64
Sep'17,2017,9,Retailers,33.06
Sep'17,2017,9,Telecommunication providers,40.65
Dec'17,2017,12,All other entities,140.33
Dec'17,2017,12,Banks and other financial institutions,309.95
Dec'17,2017,12,Debt collection agencies,3.81
Dec'17,2017,12,Retailers,35.48
Dec'17,2017,12,Telecommunication providers,40.54
Mar'18,2018,3,All other entities,116.1
Mar'18,2018,3,Banks and other financial institutions,244.36
Mar'18,2018,3,Debt collection agencies,2.76
Mar'18,2018,3,Retailers,32.36
Mar'18,2018,3,Telecommunication providers,44.1
Jun'18,2018,6,All other entities,176.66
Jun'18,2018,6,Banks and other financial institutions,134.31
Jun'18,2018,6,Debt collection agencies,2.55
Jun'18,2018,6,Retailers,15.63
Jun'18,2018,6,Telecommunication providers,46.17
Sep'18,2018,9,All other entities,97.11
Sep'18,2018,9,Banks and other financial institutions,424.18
